usage_date,subscription_id,resource_group,resource_id,meter_id,meter_name,meter_category,quantity,unit_price,cost_usd,currency,tags_json,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-09-08,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-checkout,140566,gpt-4.1 Output Tokens,Azure OpenAI,1586086,1e-06,2.3483,USD,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-checkout,180933,gpt-4.1-mini Input Tokens,Azure OpenAI,1644846,1e-06,2.229,USD,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-search,381252,gpt-4.1-mini Output Tokens,Azure OpenAI,909908,1e-06,0.3901,USD,"{""app"":""APP-SEARCH"",""bu"":""BU-DISCOVERY"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-search,180933,gpt-4.1-mini Input Tokens,Azure OpenAI,1185702,1e-06,0.9672,USD,"{""app"":""APP-SEARCH"",""bu"":""BU-DISCOVERY"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-dsnb,180933,gpt-4.1-mini Input Tokens,Azure OpenAI,53066,1e-06,0.0696,USD,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-08,batch-2026-09-04,MOCK
2026-09-08,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-dsnb,381252,gpt-4.1-mini Output Tokens,Azure OpenAI,839105,1e-06,1.1905,USD,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-08,batch-2026-09-04,MOCK
2026-09-07,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-checkout,385755,gpt-4.1 Input Tokens,Azure OpenAI,480323,1e-06,0.4975,USD,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-checkout,180933,gpt-4.1-mini Input Tokens,Azure OpenAI,549473,1e-06,0.4966,USD,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-search,180933,gpt-4.1-mini Input Tokens,Azure OpenAI,1542443,1e-06,1.1349,USD,"{""app"":""APP-SEARCH"",""bu"":""BU-DISCOVERY"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-search,140566,gpt-4.1 Output Tokens,Azure OpenAI,142065,1e-06,0.2139,USD,"{""app"":""APP-SEARCH"",""bu"":""BU-DISCOVERY"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-dsnb,140566,gpt-4.1 Output Tokens,Azure OpenAI,1928163,1e-06,1.6331,USD,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-07,batch-2026-09-04,MOCK
2026-09-07,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-dsnb,385755,gpt-4.1 Input Tokens,Azure OpenAI,1618458,1e-06,0.8123,USD,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-07,batch-2026-09-04,MOCK
2026-09-06,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-checkout,180933,gpt-4.1-mini Input Tokens,Azure OpenAI,329998,1e-06,0.3843,USD,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-checkout,385755,gpt-4.1 Input Tokens,Azure OpenAI,877014,1e-06,0.4296,USD,"{""app"":""APP-CHECKOUT"",""bu"":""BU-RETAIL"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-search,180933,gpt-4.1-mini Input Tokens,Azure OpenAI,1439245,1e-06,2.241,USD,"{""app"":""APP-SEARCH"",""bu"":""BU-DISCOVERY"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-search,381252,gpt-4.1-mini Output Tokens,Azure OpenAI,546546,1e-06,0.4099,USD,"{""app"":""APP-SEARCH"",""bu"":""BU-DISCOVERY"",""env"":""ENV-PROD""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-dsnb,385755,gpt-4.1 Input Tokens,Azure OpenAI,1519528,1e-06,2.1247,USD,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-06,batch-2026-09-04,MOCK
2026-09-06,68837237-5a48-41a9-bed4-947f5c277684,rg-aoai-prod,/subscriptions/.../aoai-app-dsnb,381252,gpt-4.1-mini Output Tokens,Azure OpenAI,734199,1e-06,0.5739,USD,"{""app"":""APP-DSNB"",""bu"":""BU-PLATFORM"",""env"":""ENV-DEV""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-09-06,batch-2026-09-04,MOCK
