metric_time,resource_id,deployment_name,model_name,processed_prompt_tokens,generated_tokens,total_tokens,requests,latency_ms,throttled_count,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-09-08T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,469225,190876,660101,1418,3445.7,8,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,180092,103775,283867,2517,873.2,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-08,batch-2026-09-04,MOCK
2026-09-08T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,802211,501871,1304082,939,2233.2,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-08,batch-2026-09-04,MOCK
2026-09-07T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1407107,738039,2145146,2046,1886.0,9,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-07,batch-2026-09-04,MOCK
2026-09-07T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,850236,386875,1237111,2661,3387.2,1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-07,batch-2026-09-04,MOCK
2026-09-07T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,577100,220010,797110,3729,2938.9,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-07,batch-2026-09-04,MOCK
2026-09-06T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,1283933,665906,1949839,1709,2761.3,6,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-06,batch-2026-09-04,MOCK
2026-09-06T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,991233,367718,1358951,710,817.0,5,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-06,batch-2026-09-04,MOCK
2026-09-06T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,841042,265982,1107024,2386,2036.8,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-06,batch-2026-09-04,MOCK
2026-09-05T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1274707,813780,2088487,146,1290.9,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-05,batch-2026-09-04,MOCK
2026-09-05T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,372339,250007,622346,4989,367.8,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-05,batch-2026-09-04,MOCK
2026-09-05T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1078759,664475,1743234,4606,1381.7,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-05,batch-2026-09-04,MOCK
2026-09-04T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,435601,221390,656991,4238,725.9,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-04,batch-2026-09-04,MOCK
2026-09-04T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,242823,106784,349607,1847,2389.0,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-04,batch-2026-09-04,MOCK
2026-09-04T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,665670,257865,923535,4445,1767.0,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-04,batch-2026-09-04,MOCK
2026-09-03T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,290589,164931,455520,3750,993.1,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-03,batch-2026-09-04,MOCK
2026-09-03T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,133628,76571,210199,2729,1458.5,3,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-03,batch-2026-09-04,MOCK
2026-09-03T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,588109,303520,891629,2416,281.5,16,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-03,batch-2026-09-04,MOCK
2026-09-02T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,1128584,700993,1829577,3750,1806.5,9,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-02,batch-2026-09-04,MOCK
2026-09-02T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,721744,364883,1086627,886,752.4,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-02,batch-2026-09-04,MOCK
2026-09-02T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1364773,445173,1809946,1846,3054.3,13,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-02,batch-2026-09-04,MOCK
2026-09-01T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,481131,247831,728962,3665,2333.7,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-01,batch-2026-09-04,MOCK
2026-09-01T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,99813,48278,148091,2817,325.0,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-01,batch-2026-09-04,MOCK
2026-09-01T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,423276,261451,684727,4671,432.5,7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-09-01,batch-2026-09-04,MOCK
2026-08-31T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,904867,411907,1316774,3413,1629.0,0,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-31,batch-2026-09-04,MOCK
2026-08-31T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,1462009,507788,1969797,148,2316.7,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-31,batch-2026-09-04,MOCK
2026-08-31T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1278109,406702,1684811,694,1380.4,16,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-31,batch-2026-09-04,MOCK
2026-08-30T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,657831,404406,1062237,2568,2201.7,9,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-30,batch-2026-09-04,MOCK
